Source ID,Target ID
WholeBody_PETCT_3708f576ec-0_0000,BDMAP_00030084
WholeBody_PETCT_4011ffe8ae-0_0000,BDMAP_00030085
WholeBody_PETCT_36d8219e3f-0_0000,BDMAP_00030086
WholeBody_PETCT_1bb48bfb40-0_0000,BDMAP_00030087
WholeBody_PETCT_40a125468a-0_0000,BDMAP_00030088
WholeBody_PETCT_442a09f90e-0_0000,BDMAP_00030089
WholeBody_PETCT_465176d213-0_0000,BDMAP_00030090
WholeBody_PETCT_43647ff727-0_0000,BDMAP_00030091
WholeBody_PETCT_456e6f9dc2-0_0000,BDMAP_00030092
WholeBody_PETCT_46ee4ddd68-0_0000,BDMAP_00030093
WholeBody_PETCT_1fc35d02da-0_0000,BDMAP_00030094
WholeBody_PETCT_4848bebb10-0_0000,BDMAP_00030095
WholeBody_PETCT_456d14846b-0_0000,BDMAP_00030096
WholeBody_PETCT_3c3ee87fc6-0_0000,BDMAP_00030097
WholeBody_PETCT_47cd731006-0_0000,BDMAP_00030098
WholeBody_PETCT_4a255db7bd-0_0000,BDMAP_00030099
WholeBody_PETCT_4be28f9cd7-0_0000,BDMAP_00030100
WholeBody_PETCT_49479d6e64-0_0000,BDMAP_00030101
WholeBody_PETCT_4dcf62f869-0_0000,BDMAP_00030102
WholeBody_PETCT_4b688f46b0-0_0000,BDMAP_00030103
WholeBody_PETCT_49f3d297b0-0_0000,BDMAP_00030104
WholeBody_PETCT_527c5afc5d-0_0000,BDMAP_00030105
WholeBody_PETCT_4c9e7be363-0_0000,BDMAP_00030106
WholeBody_PETCT_424e9b79c5-0_0000,BDMAP_00030107
WholeBody_PETCT_5255c79083-0_0000,BDMAP_00030108
WholeBody_PETCT_510fb36781-0_0000,BDMAP_00030109
WholeBody_PETCT_1fe6e48293-0_0000,BDMAP_00030110
WholeBody_PETCT_53a0610615-0_0000,BDMAP_00030111
WholeBody_PETCT_4f7a8f41c0-0_0000,BDMAP_00030112
WholeBody_PETCT_4d7b745a7b-0_0000,BDMAP_00030113
WholeBody_PETCT_5060603ba4-0_0000,BDMAP_00030114
WholeBody_PETCT_53dad1785b-0_0000,BDMAP_00030115
WholeBody_PETCT_4c75fa4a5d-0_0000,BDMAP_00030116
WholeBody_PETCT_55ae7986e1-0_0000,BDMAP_00030117
WholeBody_PETCT_544676de40-1_0000,BDMAP_00030118
WholeBody_PETCT_548213edf7-0_0000,BDMAP_00030119
WholeBody_PETCT_59309d6625-0_0000,BDMAP_00030120
WholeBody_PETCT_5a58935b68-0_0000,BDMAP_00030121
WholeBody_PETCT_548bd05667-0_0000,BDMAP_00030122
WholeBody_PETCT_55ca11402a-0_0000,BDMAP_00030123
WholeBody_PETCT_5c55b3087d-0_0000,BDMAP_00030124
WholeBody_PETCT_5c35fcbe89-0_0000,BDMAP_00030125
WholeBody_PETCT_581fa95eb0-0_0000,BDMAP_00030126
WholeBody_PETCT_5d6bf1e75f-0_0000,BDMAP_00030127
WholeBody_PETCT_556b56485a-0_0000,BDMAP_00030128
WholeBody_PETCT_5c1baad5d8-0_0000,BDMAP_00030129
WholeBody_PETCT_59e6d1de22-0_0000,BDMAP_00030130
WholeBody_PETCT_4404466919-0_0000,BDMAP_00030131
WholeBody_PETCT_5d10be5b89-0_0000,BDMAP_00030132
WholeBody_PETCT_48cb8662f7-0_0000,BDMAP_00030133
WholeBody_PETCT_4cb875dc0b-0_0000,BDMAP_00030134
WholeBody_PETCT_5d553bf6b4-0_0000,BDMAP_00030135
WholeBody_PETCT_5ef99b0b6b-0_0000,BDMAP_00030136
WholeBody_PETCT_5de3ac617a-0_0000,BDMAP_00030137
WholeBody_PETCT_5ac322455f-0_0000,BDMAP_00030138
WholeBody_PETCT_5cf118ac06-0_0000,BDMAP_00030139
WholeBody_PETCT_5e0bc6cdda-0_0000,BDMAP_00030140
WholeBody_PETCT_4c670a5445-0_0000,BDMAP_00030141
WholeBody_PETCT_5e8b013935-0_0000,BDMAP_00030142
WholeBody_PETCT_4776e75543-0_0000,BDMAP_00030143
WholeBody_PETCT_60baa6979c-0_0000,BDMAP_00030144
WholeBody_PETCT_6170317f2e-0_0000,BDMAP_00030145
WholeBody_PETCT_5d994c3f44-0_0000,BDMAP_00030146
WholeBody_PETCT_5e2da717db-0_0000,BDMAP_00030147
WholeBody_PETCT_5f569fb737-0_0000,BDMAP_00030148
WholeBody_PETCT_63508c679d-0_0000,BDMAP_00030149
WholeBody_PETCT_61663450f8-0_0000,BDMAP_00030150
WholeBody_PETCT_62011ff15b-0_0000,BDMAP_00030151
WholeBody_PETCT_605369e88d-0_0000,BDMAP_00030152
WholeBody_PETCT_61348439bf-0_0000,BDMAP_00030153
WholeBody_PETCT_65a1330e90-0_0000,BDMAP_00030154
WholeBody_PETCT_63dd9503eb-0_0000,BDMAP_00030155
WholeBody_PETCT_62405d117c-0_0000,BDMAP_00030156
WholeBody_PETCT_1956667fce-1_0000,BDMAP_00030157
WholeBody_PETCT_644d80e987-0_0000,BDMAP_00030158
WholeBody_PETCT_685d7c09b5-0_0000,BDMAP_00030159
WholeBody_PETCT_62b114e09b-0_0000,BDMAP_00030160
WholeBody_PETCT_1a90052cb2-0_0000,BDMAP_00030161
WholeBody_PETCT_6543c58e13-0_0000,BDMAP_00030162
WholeBody_PETCT_68f73c4518-0_0000,BDMAP_00030163
WholeBody_PETCT_68b75093c5-0_0000,BDMAP_00030164
WholeBody_PETCT_65bd1a4c38-0_0000,BDMAP_00030165
WholeBody_PETCT_68a7ade33c-0_0000,BDMAP_00030166
WholeBody_PETCT_1f65acff65-0_0000,BDMAP_00030167
WholeBody_PETCT_661ddc60e0-0_0000,BDMAP_00030168
WholeBody_PETCT_6aea5c3a03-0_0000,BDMAP_00030169
WholeBody_PETCT_62ced197ca-0_0000,BDMAP_00030170
WholeBody_PETCT_64909533c5-0_0000,BDMAP_00030171
WholeBody_PETCT_1fcfa34d10-0_0000,BDMAP_00030172
WholeBody_PETCT_6a3477cd9a-0_0000,BDMAP_00030173
WholeBody_PETCT_20995a0fe1-0_0000,BDMAP_00030174
WholeBody_PETCT_6c469107a0-0_0000,BDMAP_00030175
WholeBody_PETCT_20a607649d-0_0000,BDMAP_00030176
WholeBody_PETCT_2140db0ca5-0_0000,BDMAP_00030177
WholeBody_PETCT_6d6a193655-0_0000,BDMAP_00030178
WholeBody_PETCT_23ed525e82-0_0000,BDMAP_00030179
WholeBody_PETCT_6fe855c937-0_0000,BDMAP_00030180
WholeBody_PETCT_25707f94a2-0_0000,BDMAP_00030181
WholeBody_PETCT_74bbceaeeb-0_0000,BDMAP_00030182
WholeBody_PETCT_2a6f4f0753-0_0000,BDMAP_00030183
WholeBody_PETCT_2b60c8135a-0_0000,BDMAP_00030184
WholeBody_PETCT_7147385005-0_0000,BDMAP_00030185
WholeBody_PETCT_2d70838805-0_0000,BDMAP_00030186
WholeBody_PETCT_2e44706eaf-0_0000,BDMAP_00030187
WholeBody_PETCT_6e7c7f8087-0_0000,BDMAP_00030188
WholeBody_PETCT_72ee9ec897-0_0000,BDMAP_00030189
WholeBody_PETCT_7094acd4c0-0_0000,BDMAP_00030190
WholeBody_PETCT_7323c415d0-0_0000,BDMAP_00030191
WholeBody_PETCT_6efefcb92a-0_0000,BDMAP_00030192
WholeBody_PETCT_6c23f2686d-0_0000,BDMAP_00030193
WholeBody_PETCT_6d62e15c29-0_0000,BDMAP_00030194
WholeBody_PETCT_760c77b289-0_0000,BDMAP_00030195
WholeBody_PETCT_742a9413db-0_0000,BDMAP_00030196
WholeBody_PETCT_77bceab232-0_0000,BDMAP_00030197
WholeBody_PETCT_73fda3a382-0_0000,BDMAP_00030198
WholeBody_PETCT_7948aa0e26-0_0000,BDMAP_00030199
WholeBody_PETCT_790246c76c-0_0000,BDMAP_00030200
WholeBody_PETCT_642d6c78d6-0_0000,BDMAP_00030201
WholeBody_PETCT_76ebd5c736-0_0000,BDMAP_00030202
WholeBody_PETCT_7a77b26403-0_0000,BDMAP_00030203
WholeBody_PETCT_7faf36a152-0_0000,BDMAP_00030204
WholeBody_PETCT_7b42056ee3-0_0000,BDMAP_00030205
WholeBody_PETCT_770ee48d09-0_0000,BDMAP_00030206
WholeBody_PETCT_7a8a062ed5-0_0000,BDMAP_00030207
WholeBody_PETCT_65346b03b8-0_0000,BDMAP_00030208
WholeBody_PETCT_802f19931c-0_0000,BDMAP_00030209
WholeBody_PETCT_816732638d-0_0000,BDMAP_00030210
WholeBody_PETCT_7d97f7a102-0_0000,BDMAP_00030211
WholeBody_PETCT_8aa48809ea-0_0000,BDMAP_00030212
WholeBody_PETCT_73597f33fe-1_0000,BDMAP_00030213
WholeBody_PETCT_7ed037687a-0_0000,BDMAP_00030214
WholeBody_PETCT_7958ce0f7c-0_0000,BDMAP_00030215
WholeBody_PETCT_7e5729ea40-0_0000,BDMAP_00030216
WholeBody_PETCT_86e54ea60a-0_0000,BDMAP_00030217
WholeBody_PETCT_80d7e682f7-0_0000,BDMAP_00030218
WholeBody_PETCT_80ccbdadf9-0_0000,BDMAP_00030219
WholeBody_PETCT_6c660140ca-0_0000,BDMAP_00030220
WholeBody_PETCT_7d01eb835d-0_0000,BDMAP_00030221
WholeBody_PETCT_89fb723947-0_0000,BDMAP_00030222
WholeBody_PETCT_73597f33fe-0_0000,BDMAP_00030223
WholeBody_PETCT_870181d7fd-0_0000,BDMAP_00030224
WholeBody_PETCT_84e7715ed9-0_0000,BDMAP_00030225
WholeBody_PETCT_8b74860ce6-0_0000,BDMAP_00030226
WholeBody_PETCT_791ec15924-0_0000,BDMAP_00030227
WholeBody_PETCT_82137245b0-0_0000,BDMAP_00030228
WholeBody_PETCT_8de6953d23-0_0000,BDMAP_00030229
WholeBody_PETCT_8ec13728df-0_0000,BDMAP_00030230
WholeBody_PETCT_88bcc970b3-0_0000,BDMAP_00030231
WholeBody_PETCT_8e02f36295-0_0000,BDMAP_00030232
WholeBody_PETCT_8a52353a72-0_0000,BDMAP_00030233
WholeBody_PETCT_8c8cd2699c-0_0000,BDMAP_00030234
WholeBody_PETCT_91cfa804b0-0_0000,BDMAP_00030235
WholeBody_PETCT_901573a747-0_0000,BDMAP_00030236
WholeBody_PETCT_92c5c944a5-0_0000,BDMAP_00030237
WholeBody_PETCT_8f2878df50-1_0000,BDMAP_00030238
WholeBody_PETCT_8e905366fe-0_0000,BDMAP_00030239
WholeBody_PETCT_93bea242d1-0_0000,BDMAP_00030240
WholeBody_PETCT_86153b2974-2_0000,BDMAP_00030241
WholeBody_PETCT_9775598501-0_0000,BDMAP_00030242
WholeBody_PETCT_94986389d4-0_0000,BDMAP_00030243
WholeBody_PETCT_963a71819a-0_0000,BDMAP_00030244
WholeBody_PETCT_90ea6a6aaf-0_0000,BDMAP_00030245
WholeBody_PETCT_97320b0b58-0_0000,BDMAP_00030246
WholeBody_PETCT_94962fe878-0_0000,BDMAP_00030247
WholeBody_PETCT_99a7bfad23-0_0000,BDMAP_00030248
WholeBody_PETCT_7ce196485f-0_0000,BDMAP_00030249
WholeBody_PETCT_9b982e72cb-0_0000,BDMAP_00030250
WholeBody_PETCT_9a2c6e618a-0_0000,BDMAP_00030251
WholeBody_PETCT_7b477e7e0d-1_0000,BDMAP_00030252
WholeBody_PETCT_978c395243-0_0000,BDMAP_00030253
WholeBody_PETCT_7785c10e91-0_0000,BDMAP_00030254
WholeBody_PETCT_983a76fd43-0_0000,BDMAP_00030255
WholeBody_PETCT_7fbb39290e-0_0000,BDMAP_00030256
WholeBody_PETCT_98c6af8b90-0_0000,BDMAP_00030257
WholeBody_PETCT_7cfd708a53-0_0000,BDMAP_00030258
WholeBody_PETCT_9d6699f215-0_0000,BDMAP_00030259
WholeBody_PETCT_987c8a1160-0_0000,BDMAP_00030260
WholeBody_PETCT_9837205b34-0_0000,BDMAP_00030261
WholeBody_PETCT_9aa97cf103-0_0000,BDMAP_00030262
WholeBody_PETCT_9c8842d12e-0_0000,BDMAP_00030263
WholeBody_PETCT_9c9a347388-0_0000,BDMAP_00030264
WholeBody_PETCT_9a583160ea-0_0000,BDMAP_00030265
WholeBody_PETCT_7f2a604e03-0_0000,BDMAP_00030266
WholeBody_PETCT_89065bc4ab-0_0000,BDMAP_00030267
WholeBody_PETCT_a19ef8e0d2-0_0000,BDMAP_00030268
WholeBody_PETCT_912a25778f-0_0000,BDMAP_00030269
WholeBody_PETCT_9abb9583ec-0_0000,BDMAP_00030270
WholeBody_PETCT_9afd440677-0_0000,BDMAP_00030271
WholeBody_PETCT_a37da9e85d-0_0000,BDMAP_00030272
WholeBody_PETCT_9ffd8409b3-0_0000,BDMAP_00030273
WholeBody_PETCT_a0c4dc1ef1-0_0000,BDMAP_00030274
WholeBody_PETCT_9f7c68f5ca-0_0000,BDMAP_00030275
WholeBody_PETCT_9f206193d3-0_0000,BDMAP_00030276
WholeBody_PETCT_9da159b835-0_0000,BDMAP_00030277
WholeBody_PETCT_ab1fa26e5e-0_0000,BDMAP_00030278
WholeBody_PETCT_a9d7a14ba1-0_0000,BDMAP_00030279
WholeBody_PETCT_aa27cb9156-0_0000,BDMAP_00030280
WholeBody_PETCT_a3df01d3a3-0_0000,BDMAP_00030281
WholeBody_PETCT_95efdaba3c-0_0000,BDMAP_00030282
WholeBody_PETCT_ac11b344b6-0_0000,BDMAP_00030283
WholeBody_PETCT_979f9c3dba-0_0000,BDMAP_00030284
WholeBody_PETCT_a471649d35-0_0000,BDMAP_00030285
WholeBody_PETCT_a1db71e797-0_0000,BDMAP_00030286
WholeBody_PETCT_a2a68bbe97-0_0000,BDMAP_00030287
WholeBody_PETCT_a82f03863a-0_0000,BDMAP_00030288
WholeBody_PETCT_a7b323b3fd-0_0000,BDMAP_00030289
WholeBody_PETCT_a4cd2b10de-2_0000,BDMAP_00030290
WholeBody_PETCT_ac75e49284-0_0000,BDMAP_00030291
WholeBody_PETCT_aea7906fd2-0_0000,BDMAP_00030292
WholeBody_PETCT_ae3074834a-0_0000,BDMAP_00030293
WholeBody_PETCT_99e5728030-0_0000,BDMAP_00030294
WholeBody_PETCT_b2f82ed4b9-1_0000,BDMAP_00030295
WholeBody_PETCT_94cc0dac49-0_0000,BDMAP_00030296
WholeBody_PETCT_9521502dbb-0_0000,BDMAP_00030297
WholeBody_PETCT_b1219c408b-0_0000,BDMAP_00030298
WholeBody_PETCT_ad7c6a4a58-0_0000,BDMAP_00030299
WholeBody_PETCT_b327726c24-0_0000,BDMAP_00030300
WholeBody_PETCT_ae96f738c0-0_0000,BDMAP_00030301
WholeBody_PETCT_ad7cd4a9d2-0_0000,BDMAP_00030302
WholeBody_PETCT_ae8c77a995-0_0000,BDMAP_00030303
WholeBody_PETCT_b258dfa7c2-0_0000,BDMAP_00030304
WholeBody_PETCT_b04be2846e-0_0000,BDMAP_00030305
WholeBody_PETCT_aee7d68f86-0_0000,BDMAP_00030306
WholeBody_PETCT_b1aa7ce13e-0_0000,BDMAP_00030307
WholeBody_PETCT_b3d4773f85-0_0000,BDMAP_00030308
WholeBody_PETCT_b2244b5591-0_0000,BDMAP_00030309
WholeBody_PETCT_b899150306-0_0000,BDMAP_00030310
WholeBody_PETCT_b6fc20942c-0_0000,BDMAP_00030311
WholeBody_PETCT_b510436d83-1_0000,BDMAP_00030312
WholeBody_PETCT_b509ace2a2-0_0000,BDMAP_00030313
WholeBody_PETCT_b510436d83-0_0000,BDMAP_00030314
WholeBody_PETCT_bd52fdf529-0_0000,BDMAP_00030315
WholeBody_PETCT_bca97006e4-0_0000,BDMAP_00030316
WholeBody_PETCT_b6a3c72db6-0_0000,BDMAP_00030317
WholeBody_PETCT_b53ba7c6bf-0_0000,BDMAP_00030318
WholeBody_PETCT_b41bc7c1e5-0_0000,BDMAP_00030319
WholeBody_PETCT_b6a1ee33ef-0_0000,BDMAP_00030320
WholeBody_PETCT_bd7c02faa9-0_0000,BDMAP_00030321
WholeBody_PETCT_baacf43b4f-0_0000,BDMAP_00030322
WholeBody_PETCT_b52920038c-0_0000,BDMAP_00030323
WholeBody_PETCT_a4ff5d0d9d-0_0000,BDMAP_00030324
WholeBody_PETCT_b5923963ac-0_0000,BDMAP_00030325
WholeBody_PETCT_b7c1533a39-0_0000,BDMAP_00030326
WholeBody_PETCT_bf178a41b2-0_0000,BDMAP_00030327
WholeBody_PETCT_a61d8768d0-0_0000,BDMAP_00030328
WholeBody_PETCT_bf7652bccc-0_0000,BDMAP_00030329
WholeBody_PETCT_bacc741e2c-0_0000,BDMAP_00030330
WholeBody_PETCT_ba717a1f22-0_0000,BDMAP_00030331
WholeBody_PETCT_bbb83facb4-0_0000,BDMAP_00030332
WholeBody_PETCT_a86b2dc6ce-0_0000,BDMAP_00030333
WholeBody_PETCT_be3e55a32f-0_0000,BDMAP_00030334
WholeBody_PETCT_bb45bfcffd-0_0000,BDMAP_00030335
WholeBody_PETCT_bfd89440db-0_0000,BDMAP_00030336
WholeBody_PETCT_c16c13211c-0_0000,BDMAP_00030337
WholeBody_PETCT_c4a686881e-0_0000,BDMAP_00030338
WholeBody_PETCT_a86b3fad40-0_0000,BDMAP_00030339
WholeBody_PETCT_c58477f3b4-0_0000,BDMAP_00030340
WholeBody_PETCT_c29aba73da-0_0000,BDMAP_00030341
WholeBody_PETCT_a1bc00ad60-0_0000,BDMAP_00030342
WholeBody_PETCT_bd7603e9df-0_0000,BDMAP_00030343
WholeBody_PETCT_c3cc732d95-0_0000,BDMAP_00030344
WholeBody_PETCT_cb1f5e74ab-0_0000,BDMAP_00030345
WholeBody_PETCT_c799ccc2f6-0_0000,BDMAP_00030346
WholeBody_PETCT_c73c2685c0-0_0000,BDMAP_00030347
WholeBody_PETCT_c2a51a65c6-0_0000,BDMAP_00030348
WholeBody_PETCT_ab953a5230-0_0000,BDMAP_00030349
WholeBody_PETCT_c517c47bed-0_0000,BDMAP_00030350
WholeBody_PETCT_ca47fe5e7d-0_0000,BDMAP_00030351
WholeBody_PETCT_d4112bc7ba-0_0000,BDMAP_00030352
WholeBody_PETCT_af73b85f2c-0_0000,BDMAP_00030353
WholeBody_PETCT_ca58410fad-0_0000,BDMAP_00030354
WholeBody_PETCT_ca89066e44-0_0000,BDMAP_00030355
WholeBody_PETCT_c898e2abcb-0_0000,BDMAP_00030356
WholeBody_PETCT_cbbc9e2879-0_0000,BDMAP_00030357
WholeBody_PETCT_cc5c58c82d-0_0000,BDMAP_00030358
WholeBody_PETCT_d4b2ff9721-0_0000,BDMAP_00030359
WholeBody_PETCT_d206b891ee-0_0000,BDMAP_00030360
WholeBody_PETCT_c16d325d12-0_0000,BDMAP_00030361
WholeBody_PETCT_d393ab6c7b-0_0000,BDMAP_00030362
WholeBody_PETCT_d1c8141930-0_0000,BDMAP_00030363
WholeBody_PETCT_bc80d06f97-0_0000,BDMAP_00030364
WholeBody_PETCT_d51664a9e4-0_0000,BDMAP_00030365
WholeBody_PETCT_cd2ef932b5-0_0000,BDMAP_00030366
WholeBody_PETCT_d46f0109f8-0_0000,BDMAP_00030367
WholeBody_PETCT_d69eabbb20-0_0000,BDMAP_00030368
WholeBody_PETCT_d51bacdaba-0_0000,BDMAP_00030369
WholeBody_PETCT_c252d734a0-0_0000,BDMAP_00030370
WholeBody_PETCT_d3d61785e6-0_0000,BDMAP_00030371
WholeBody_PETCT_d31c9ebd93-0_0000,BDMAP_00030372
WholeBody_PETCT_d674a028b1-0_0000,BDMAP_00030373
WholeBody_PETCT_d40a16781a-0_0000,BDMAP_00030374
WholeBody_PETCT_d951eeb735-0_0000,BDMAP_00030375
WholeBody_PETCT_d8a92bafe3-0_0000,BDMAP_00030376
WholeBody_PETCT_db3daf78d2-0_0000,BDMAP_00030377
WholeBody_PETCT_bdd21f5590-0_0000,BDMAP_00030378
WholeBody_PETCT_d3dac0d1cd-0_0000,BDMAP_00030379
WholeBody_PETCT_d65cf203be-0_0000,BDMAP_00030380
WholeBody_PETCT_d69c3fceba-0_0000,BDMAP_00030381
WholeBody_PETCT_dac5cd2a4d-0_0000,BDMAP_00030382
